TRAIN_CODE,STATION_CODE,SCHEDULE_ARRIVAL_TIME,SCHEDULE_DEPARTURE_TIME,API_ARRIVAL_TIME,API_DEPARTURE_TIME,TIME_MATCH
1UP,KCT,,22:15:00,,22:15:00,YES
1UP,DID,22:34:00,22:36:00,22:34:00,22:36:00,YES
1UP,LND,22:56:00,22:58:00,22:56:00,22:58:00,YES
1UP,HDR,01:00:00,01:10:00,01:00:00,01:10:00,YES
1UP,NWS,02:43:00,02:45:00,02:43:00,02:45:00,YES
1UP,KHP,04:42:00,04:44:00,04:42:00,04:44:00,YES
1UP,ROH,05:30:00,05:55:00,05:30:00,05:55:00,YES
1UP,PNL,06:25:00,06:30:00,06:25:00,06:30:00,YES
1UP,GHK,06:51:00,06:53:00,06:51:00,06:53:00,YES
1UP,MRP,07:15:00,07:17:00,07:15:00,07:17:00,YES
1UP,DRK,07:33:00,07:35:00,07:33:00,07:35:00,YES
1UP,SDK,08:12:00,08:14:00,08:12:00,08:14:00,YES
1UP,RYK,08:40:00,08:44:00,08:40:00,08:44:00,YES
1UP,KPR,09:35:00,09:40:00,09:35:00,09:40:00,YES
1UP,LQP,10:13:00,10:15:00,10:13:00,10:15:00,YES
1UP,DWBS,10:45:00,10:47:00,10:45:00,10:47:00,YES
1UP,SMA,11:20:00,11:40:00,11:20:00,11:40:00,YES
1UP,BWPR,11:55:00,12:00:00,11:55:00,12:00:00,YES
1UP,LON,12:22:00,12:24:00,12:22:00,12:24:00,YES
1UP,SJB,12:58:00,13:00:00,12:58:00,13:00:00,YES
1UP,MUL,13:30:00,13:40:00,13:30:00,13:40:00,YES
1UP,KWL,14:25:00,14:30:00,14:25:00,14:30:00,YES
1UP,MYH,15:02:00,15:04:00,15:02:00,15:04:00,YES
1UP,CCE,15:30:00,15:32:00,15:30:00,15:32:00,YES
1UP,SWAL,16:15:00,16:20:00,16:15:00,16:20:00,YES
1UP,OKR,16:50:00,16:52:00,16:50:00,16:52:00,YES
1UP,PTO,17:24:00,17:26:00,17:24:00,17:26:00,YES
1UP,KRK,17:48:00,17:50:00,17:48:00,17:50:00,YES
1UP,RND,18:10:00,18:15:00,18:10:00,18:15:00,YES
1UP,LKP,18:45:00,18:47:00,18:45:00,18:47:00,YES
1UP,LRC,19:08:00,19:10:00,19:08:00,19:10:00,YES
1UP,LHR,19:30:00,20:00:00,19:30:00,20:00:00,YES
1UP,GRW,21:15:00,21:20:00,21:15:00,21:20:00,YES
1UP,WZD,21:45:00,21:47:00,21:45:00,21:47:00,YES
1UP,GRT,22:03:00,22:05:00,22:03:00,22:05:00,YES
1UP,LLM,22:30:00,22:33:00,22:30:00,22:33:00,YES
1UP,JMR,23:04:00,23:06:00,23:04:00,23:06:00,YES
1UP,RWP,01:20:00,01:50:00,01:20:00,01:50:00,YES
1UP,ATCY,03:12:00,03:16:00,03:12:00,03:16:00,YES
1UP,JHR,03:52:00,03:56:00,03:52:00,03:56:00,YES
1UP,NSR,04:14:00,04:18:00,04:14:00,04:18:00,YES
1UP,PSH,05:00:00,05:04:00,05:00:00,05:04:00,YES
1UP,PSC,05:15:00,05:15:00,05:15:00,,YES
2DN,PSC,,22:00:00,,22:00:00,YES
2DN,PSH,22:09:00,22:11:00,22:09:00,22:11:00,YES
2DN,NSR,22:41:00,22:45:00,22:41:00,22:45:00,YES
2DN,JHR,23:01:00,23:05:00,23:01:00,23:05:00,YES
2DN,ATCY,23:41:00,23:45:00,23:41:00,23:45:00,YES
2DN,RWP,01:25:00,01:50:00,01:25:00,01:50:00,YES
2DN,JMR,03:48:00,03:50:00,03:48:00,03:50:00,YES
2DN,LLM,04:40:00,04:45:00,04:40:00,04:45:00,YES
2DN,GRT,05:02:00,05:04:00,05:02:00,05:04:00,YES
2DN,WZD,05:20:00,05:23:00,05:20:00,05:23:00,YES
2DN,GRW,05:50:00,05:55:00,05:50:00,05:55:00,YES
2DN,LHR,07:00:00,07:35:00,07:00:00,07:35:00,YES
2DN,LRC,07:48:00,07:50:00,07:48:00,07:50:00,YES
2DN,LKP,08:02:00,08:04:00,08:02:00,08:04:00,YES
2DN,RND,08:25:00,08:30:00,08:25:00,08:30:00,YES
2DN,KRK,08:45:00,08:47:00,08:45:00,08:47:00,YES
2DN,PTO,09:10:00,09:15:00,09:10:00,09:15:00,YES
2DN,OKR,09:58:00,10:00:00,09:58:00,10:00:00,YES
2DN,SWAL,10:45:00,10:50:00,10:45:00,10:50:00,YES
2DN,CCE,11:21:00,11:23:00,11:21:00,11:23:00,YES
2DN,MYH,11:49:00,11:51:00,11:49:00,11:51:00,YES
2DN,KWL,12:35:00,12:40:00,12:35:00,12:40:00,YES
2DN,MUL,13:15:00,13:25:00,13:15:00,13:25:00,YES
2DN,SJB,13:57:00,13:59:00,13:57:00,13:59:00,YES
2DN,LON,14:33:00,14:35:00,14:33:00,14:35:00,YES
2DN,BWPR,14:55:00,15:00:00,14:55:00,15:00:00,YES
2DN,SMA,15:15:00,15:35:00,15:15:00,15:35:00,YES
2DN,DWBS,16:04:00,16:06:00,16:04:00,16:06:00,YES
2DN,LQP,16:36:00,16:38:00,16:36:00,16:38:00,YES
2DN,KPR,17:25:00,17:30:00,17:25:00,17:30:00,YES
2DN,RYK,04:02:00,18:04:00,18:02:00,18:04:00,YES
2DN,SDK,18:24:00,18:26:00,18:24:00,18:26:00,YES
2DN,DRK,19:03:00,19:05:00,19:03:00,19:05:00,YES
2DN,MRP,19:21:00,19:23:00,19:21:00,19:23:00,YES
2DN,GHK,19:45:00,19:47:00,19:45:00,19:47:00,YES
2DN,PNL,20:15:00,20:20:00,20:15:00,20:20:00,YES
2DN,ROH,21:10:00,21:35:00,21:10:00,21:35:00,YES
2DN,NWS,00:08:00,00:10:00,00:08:00,00:10:00,YES
2DN,HDR,02:00:00,02:10:00,02:00:00,02:10:00,YES
2DN,LND,04:08:00,04:10:00,04:08:00,04:10:00,YES
2DN,DID,04:45:00,04:47:00,04:45:00,04:47:00,YES
2DN,KCT,05:15:00,05:15:00,05:15:00,,YES
5UP,KCT,,22:00:00,,22:00:00,YES
5UP,HDR,00:30:00,00:35:00,00:30:00,00:35:00,YES
5UP,ROH,04:35:00,05:00:00,04:35:00,05:00:00,YES
5UP,BWPR,09:15:00,09:17:00,09:15:00,09:17:00,YES
5UP,KWL,10:40:00,11:00:00,10:40:00,11:00:00,YES
5UP,LHR,14:35:00,15:10:00,14:35:00,15:10:00,YES
5UP,CKL,19:22:00,19:24:00,19:22:00,19:24:00,YES
5UP,RWP,19:35:00,19:50:00,19:35:00,19:50:00,YES
5UP,MGLA,20:10:00,20:10:00,20:10:00,,YES
6DN,MGLA,,15:00:00,,15:00:00,YES
6DN,RWP,15:20:00,15:40:00,15:20:00,15:40:00,YES
6DN,CKL,15:49:00,15:51:00,15:49:00,15:51:00,YES
6DN,LHR,20:05:00,20:40:00,20:05:00,20:40:00,YES
6DN,KWL,00:15:00,00:35:00,00:15:00,00:35:00,YES
6DN,BWPR,01:55:00,01:57:00,01:55:00,01:57:00,YES
6DN,ROH,06:15:00,06:40:00,06:15:00,06:40:00,YES
6DN,HDR,10:55:00,11:00:00,10:55:00,11:00:00,YES
6DN,DID,13:19:00,13:21:00,13:19:00,13:21:00,YES
6DN,KCT,13:50:00,13:50:00,13:50:00,,YES
7UP,KCT,,17:30:00,,17:30:00,YES
7UP,HDR,19:57:00,20:05:00,19:57:00,20:05:00,YES
7UP,TDM,21:00:00,21:02:00,21:00:00,21:02:00,YES
7UP,SDU,21:20:00,21:22:00,21:20:00,21:22:00,YES
7UP,NWS,21:52:00,21:55:00,21:52:00,21:55:00,YES
7UP,MHR,22:59:00,23:01:00,22:59:00,23:01:00,YES
7UP,KHP,00:05:00,00:07:00,00:05:00,00:07:00,YES
7UP,ROH,01:10:00,01:35:00,01:10:00,01:35:00,YES
7UP,GHK,02:16:00,02:18:00,02:16:00,02:18:00,YES
7UP,RYK,03:36:00,03:38:00,03:36:00,03:38:00,YES
7UP,KPR,04:30:00,04:35:00,04:30:00,04:35:00,YES
7UP,BWPR,06:08:00,06:12:00,06:08:00,06:12:00,YES
7UP,MUL,07:30:00,07:50:00,07:30:00,07:50:00,YES
7UP,KWL,08:30:00,08:35:00,08:30:00,08:35:00,YES
7UP,MYH,09:08:00,09:10:00,09:08:00,09:10:00,YES
7UP,CCE,09:38:00,09:40:00,09:38:00,09:40:00,YES
7UP,SWAL,10:18:00,10:20:00,10:18:00,10:20:00,YES
7UP,OKR,10:53:00,10:55:00,10:53:00,10:55:00,YES
7UP,PTO,11:28:00,11:30:00,11:28:00,11:30:00,YES
7UP,RND,12:10:00,12:15:00,12:10:00,12:15:00,YES
7UP,LHR,13:05:00,13:35:00,13:05:00,13:35:00,YES
7UP,GRW,14:30:00,14:35:00,14:30:00,14:35:00,YES
7UP,WZD,15:02:00,15:04:00,15:02:00,15:04:00,YES
7UP,GRT,15:20:00,15:22:00,15:20:00,15:22:00,YES
7UP,LLM,15:43:00,15:45:00,15:43:00,15:45:00,YES
7UP,JMR,16:15:00,16:17:00,16:15:00,16:17:00,YES
7UP,GKN,17:45:00,17:47:00,17:45:00,17:47:00,YES
7UP,CKL,18:40:00,18:42:00,18:40:00,18:42:00,YES
7UP,RWP,19:00:00,19:00:00,19:00:00,,YES
8DN,RWP,,08:00:00,,08:00:00,YES
8DN,CKL,08:08:00,08:10:00,08:08:00,08:10:00,YES
8DN,GKN,08:50:00,08:52:00,08:50:00,08:52:00,YES
8DN,JMR,10:02:00,10:04:00,10:02:00,10:04:00,YES
8DN,LLM,10:50:00,10:55:00,10:50:00,10:55:00,YES
8DN,GRT,11:12:00,11:14:00,11:12:00,11:14:00,YES
8DN,WZD,11:30:00,11:32:00,11:30:00,11:32:00,YES
8DN,GRW,12:00:00,12:05:00,12:00:00,12:05:00,YES
8DN,LHR,13:05:00,13:35:00,13:05:00,13:35:00,YES
8DN,RND,14:10:00,14:15:00,14:10:00,14:15:00,YES
8DN,PTO,14:46:00,14:48:00,14:46:00,14:48:00,YES
8DN,OKR,15:30:00,15:32:00,15:30:00,15:32:00,YES
8DN,SWAL,16:10:00,16:12:00,16:10:00,16:12:00,YES
8DN,CCE,16:43:00,16:45:00,16:43:00,16:45:00,YES
8DN,MYH,17:11:00,17:13:00,17:11:00,17:13:00,YES
8DN,KWL,17:55:00,18:00:00,17:55:00,18:00:00,YES
8DN,MUL,18:35:00,18:55:00,18:35:00,18:55:00,YES
8DN,BWPR,20:11:00,20:15:00,20:11:00,20:15:00,YES
8DN,KPR,21:52:00,21:57:00,21:52:00,21:57:00,YES
8DN,RYK,22:30:00,22:32:00,22:30:00,22:32:00,YES
8DN,GHK,23:53:00,23:55:00,23:53:00,23:55:00,YES
8DN,ROH,00:50:00,01:15:00,00:50:00,01:15:00,YES
8DN,KHP,01:45:00,01:47:00,01:45:00,01:47:00,YES
8DN,MHR,02:27:00,02:29:00,02:27:00,02:29:00,YES
8DN,NWS,04:18:00,04:20:00,04:18:00,04:20:00,YES
8DN,SDU,05:07:00,05:09:00,05:07:00,05:09:00,YES
8DN,TDM,05:29:00,05:31:00,05:29:00,05:31:00,YES
8DN,HDR,06:15:00,06:20:00,06:15:00,06:20:00,YES
8DN,LND,08:12:00,08:14:00,08:12:00,08:14:00,YES
8DN,DID,08:47:00,08:49:00,08:47:00,08:49:00,YES
8DN,KCT,09:15:00,09:15:00,09:15:00,,YES
9UP,KCT,,15:30:00,,15:30:00,YES
9UP,DID,15:49:00,15:51:00,15:49:00,15:51:00,YES
9UP,LND,16:11:00,16:13:00,16:11:00,16:13:00,YES
9UP,KOT,17:55:00,17:57:00,17:55:00,17:57:00,YES
